Anno|Sede|Vincitore|Numero_Goal|Pubblico
2016|Francia|Portogallo|3.375|47594
2012|Polonia|Spagna|2.375|46479
2008|Austria|Spagna|2.21875|36383
2004|Portogallo|Grecia|2.40625|37306
2000|Belgio|Francia|2.65625|35220
